x,y
ENFERMERÍA TÉCNICA,87
EXPLOTACIÓN MINERA,178
COMPUTACIÓN E INFORMÁTICA,71
INDUSTRIAS ALIMENTARIAS,20
PRODUCCIÓN AGROPECUARIA,69
ENFERMERÍA TÉCNICA,85
ENFERMERÍA TÉCNICA,100
LABORATORIO CLÍNICO,19
TÉCNICA EN FARMACIA,68
COMPUTACIÓN E INFORMÁTICA,72
COMPUTACIÓN E INFORMÁTICA,77
CONSTRUCCIÓN CIVIL,41
PRODUCCIÓN AGROPECUARIA,65
CONSTRUCCIÓN CIVIL,60
PRODUCCIÓN AGROPECUARIA,77
ENFERMERÍA TÉCNICA,59
ADMINISTRACIÓN DE NEGOCIOS AGROPECUARIOS,65
ENFERMERÍA TÉCNICA,44
PRODUCCIÓN AGROPECUARIA,10
ENFERMERÍA TÉCNICA,12
ADMINISTRACIÓN DE RECURSOS AGROPECUARIOS Y FORESTAL,90
CONTABILIDAD,100
GUÍA OFICIAL DE TURISMO,23
PRODUCCIÓN AGROPECUARIA,72
EXPLOTACIÓN MINERA,75
MECÁNICA AUTOMOTRIZ,78
MECÁNICA DE PRODUCCIÓN,51
PRODUCCIÓN AGROPECUARIA,70
ENFERMERÍA TÉCNICA,43
CONSTRUCCIÓN CIVIL,42
PELUQUERÍA BÁSICA,8
CONFECCIÓN TEXTIL,20
ASISTENCIA EN COCINA,12
MECANICA Y MOTORES,25
MANTENIMIENTO BÁSICO DE CASAS Y EDIFICIOS,8
CONFECCIÓN TEXTIL,55
OPERADOR DE COMPUTADORAS,25
MECÁNICA DE PRODUCCIÓN,20
MECÁNICA AUTOMOTRIZ,20
CARPINTERÍA O EBANISTERÍA,18
ELECTRICIDAD,20
PANADERÍA,30
COCINA,25
PELUQUERÍA,30
AGRICULTURA SIERRA,14
CARPINTERIA,15
CONFECCIÓN TEXTIL,15
PELUQUERÍA BÁSICA,12
COMPUTACIÓN,25
PELUQUERÍA BÁSICO,15
CONFECCIÓN TEXTIL,11
CONFECCIÓN TEXTIL TEJIDO A MAQUINA,15
ARTESANÍA EN PIEDRA,15
COCINA,22
ACTIVIDADES AGRARIAS,18
CONFECCIÓN TEXTIL,13
CARPINTERÍA,21
COSMETOLOGÍA,28
AGROPECUARIA,22
COMPUTACIÓN E INFORMÁTICA,15
CONFECCIÓN TEXTIL,16
ARTESANIA Y MANUALIDADES,14
HOTELERÍA Y TURISMO,33
CONFECCIÓN TEXTIL,19
CONFECCIÓN TEXTIL,23
MANUALIDADES,25
BORDADURÍA MANUAL,0
ELABORACIÓN DE PRODUCTOS DE PASTELERÍA,25
CONFECCION TEXTIL,12
PELUQUERÍA,23
OPERADOR DE COMPUTADORAS,41
ASISTENCIA EN COCINA,18
PELUQUERÍA BÁSICA,18
CONFECCIÓN TEXTIL,22
AGRICULTURA ORGÁNICA,16
CARPINTERÍA,16
MECÁNICA AUTOMOTRIZ,22
MANTENIMIENTO BÁSICO DE CASA Y EDIFICIOS,23
PELUQUERÍA BÁSICA,10
ARTESANÍA Y MANUALIDADES,10
COMPUTACIÓN E INFORMÁTICA,37
CONFECCIÓN TEXTIL,30
CUERO Y CALZADO,21
BORDADOS COMPUTARIZADOS Y MANUALES,36
ASISTENTE DE COCINA,14
OFIMÁTICA,26
ORIENTADOR TURÍSTICO,11
COSMETOLOGÍA,27
CONFECCIÓN TEXTIL,20
CONFECCIÓN TEXTIL,13
PRODUCCIÓN AGROPECUARIA,33
