cod_mod,region,nombre,tipo,ruralidad,otra_priorizacion
1369842,CAJAMARCA,ANDABAMBA,IEST,IEST Rural,Ninguna
1058742,HUANCAVELICA,AURAHUA,IEST,IEST Rural,Ninguna
0724500,LA LIBERTAD,BOLIVAR,IEST,IEST Rural,Ninguna
1016401,PIURA,CANCHAQUE,IEST,IEST Rural,Ninguna
1391747,MOQUEGUA,CHOJATA,IEST,IEST Rural,Ninguna
1351543,CUSCO,EL DESCANSO,IEST,IEST Rural,Ninguna
0724492,LA LIBERTAD,ERASMO ARELLANO GUILLEN,IEST,IEST Rural,Ninguna
0766766,AMAZONAS,GUSTAVO EDUARDO LANATTA LUJAN,IEST,IEST Rural,Ninguna
1331628,APURÍMAC,HUACCANA,IEST,IEST Rural,VRAEM
1166057,LA LIBERTAD,HUANCASPATA,IEST,IEST Rural,Ninguna
0787325,LIMA,JATUM YAUYOS,IEST,IEST Rural,Ninguna
0481218,PUNO,JOSE ENTONIO ENCINAS,IEST,No rural,FRONTERA
0630467,PUNO,JULI,IEST,No rural,FRONTERA
1359033,CUSCO,KIMBIRI,IEST,No rural,VRAEM
1403559,HUANCAVELICA,LIRCAY,IEST,IEST Rural,Ninguna
0934570,MADRE DE DIOS,MANU,IEST,IEST Rural,Ninguna
0671115,AYACUCHO,PERU COREA DEL SUR,IEST,IEST Rural,Ninguna
1351527,CAJAMARCA,QUEROCOTO,IEST,IEST Rural,Ninguna
0560615,PIURA,SAN ANDRES,IEST,IEST Rural,Ninguna
0937656,JUNÍN,SAN MARTIN DE PANGOA,IEST,No rural,VRAEM
1393800,ANCASH,SAN NICOLAS,IEST,IEST Rural,Ninguna
0814343,LIMA,SANTA MARIA MAGDALENA,IEST,IEST Rural,Ninguna
1101641,ANCASH,SEÑOR DE LA DIVINA MISERICORDIA,IEST,IEST Rural,Ninguna
0918136,AMAZONAS,TSAMAJAIN,IEST,No rural,FRONTERA
0929497,APURÍMAC,VILCABAMBA,IEST,IEST Rural,Ninguna
0266791,Loreto,AUCAYO,CETPRO,Rural 2,Ninguna
0310730,Tacna,JOSE CACERES VERNAL,CETPRO,No rural,FRONTERA
0392365,Ancash,JOSE EL LABRADOR,CETPRO,Rural 3,Ninguna
0428029,Pasco,CHACAYAN,CETPRO,Rural 3,Ninguna
0522987,Ancash,CETPRO - HUAYLLABAMBA,CETPRO,Rural 2,Ninguna
0533554,Huancavelica,54005 - GIL RIVERA PLAZA,CETPRO,Rural 2,Ninguna
0533620,Ayacucho,VISCHONGO,CETPRO,Rural 3,Ninguna
0576108,Pasco,RICARDO LASZEUSKI SZARAFINZKI,CETPRO,Rural 2,Ninguna
0598847,Ayacucho,TAMBO QUEMADO,CETPRO,Rural 1,Ninguna
0598904,Ayacucho,CABANA SUR,CETPRO,Rural 2,Ninguna
0598938,Ayacucho,PAICO,CETPRO,Rural 1,Ninguna
0626622,Piura,AYABACA,CETPRO,No rural,FRONTERA
0629857,Ayacucho,POMABAMBA,CETPRO,Rural 3,Ninguna
0661207,La Libertad,DIVINO MAESTRO,CETPRO,Rural 3,Ninguna
0672865,Huanuco,HUACAYBAMBA,CETPRO,Rural 2,Ninguna
0676916,Amazonas,066,CETPRO,Rural 3,Ninguna
0677138,Amazonas,032,CETPRO,Rural 2,FRONTERA
0688010,Huancavelica,34020,CETPRO,Rural 2,Ninguna
0693069,Junin,CORAZON DE JESUS,CETPRO,No rural,VRAEM
0696013,Cajamarca,SAN BENITO,CETPRO,Rural 2,Ninguna
0697730,Tacna,GREGORIO ALBARRACIN,CETPRO,No rural,FRONTERA
0719138,Piura,MARIA DE NAZARETH,CETPRO,Rural 2,Ninguna
0719203,Piura,ESTEBAN BUSCEMI,CETPRO,Rural 2,Ninguna
0768622,Amazonas,017,CETPRO,Rural 2,FRONTERA
0770032,Ayacucho,QUILCATA,CETPRO,Rural 2,Ninguna
0797035,Arequipa,CALLALLI,CETPRO,Rural 3,Ninguna
